stage,item,role,source_directory,status,main_caveat
T4s,elastic feedback-off platen baseline,established explicit platen + lateral confinement reduced baseline,T4s_PlatenAxialBaseline,completed,reaction was Fz_proxy only
T4t,platen reaction diagnostics,added pairwise platen/specimen interaction reaction,T4t_TruePlatenReaction,completed,pairwise reaction is not full actuator reaction
T5,DP feedback-off baseline,first DP skeleton on explicit platen workflow,T5_DPFeedbackOffBaseline,completed,"reduced, feedback off"
T5b,DP refinement,elastic/high-strength/mild DP comparison with pairwise reaction,T5b_DPFeedbackOffRefinement,completed,"reduced, feedback off"
T5c,DP extended response,slightly longer DP high-strength and mild-yield response,T5c_DPExtendedFeedbackOff,completed,mild DP negative pore pressure is diagnostic
M3c,MCC CPU stress update smoke,parser/state/output plus CPU MCC branch smoke,M3c_MCCStressUpdateCpu,completed,short smoke only
M3d,MCC feedback-off extended,high-pc elastic-like and mild-yield MCC extended response,M3d_MCCFeedbackOffRefinement,completed,mild route has local return failures
M3d2,MCC return robustness audit,localized ReturnStatus=-3 particles and rate/iteration diagnostics,M3d2_MCCReturnRobustness,completed,"failure is local, not global"
M3d3,MCC substepping diagnostics,opt-in substepping/guard/fallback tests,M3d3_MCCSubstepping,completed,fallback is not validation
M3f,MCC return/staging refinement,ramp and proactive adaptive substepping tests,M3f_MCCReturnStagingRefinement,completed,no clean candidate
M3h,admissible line-search diagnostics,admissible Newton/line-search checks,M3h_MCCAdmissibleReturn,completed,no clean candidate
M3j-B,boundary-induced failure audit,postprocessed failure localization and boundary role,M3j_BoundaryFailureAudit,completed,points to boundary path
M3k,dense platen/edge diagnostic,captured failure onset and local support/strain evidence,M3k_PlatenEdgeDenseDiagnostic,completed,very-short dense diagnostic
M3l,platen/specimen smoothing,"tested gap, overhang, and selector-buffer variants",M3l_PlatenSpecimenSmoothing,completed,overhang helps but not clean
M3m,refined platen-edge geometry,tested overhang045 and edge/cap refinements,M3m_RefinedPlatenEdgeGeometry,completed,extended overhang still not clean
M3n,smooth Cartesian refinement,higher-resolution cut-cell diagnostic,M3n_SmoothLayoutDiagnostic,completed,support improves but statuses worsen
M3o,fan-like generator feasibility,standalone radial-ring generator and support diagnostics,M3o_SmoothFanLayoutPrototype,completed,not connected to solver
