"Name","Category","RecommendedAction","Rationale","Bytes"
"a1_analytical_reconstruction_audit_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","12659"
"a2_initial_state_calibration_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","7443"
"a-coupled-u-p-sph-formulation-for-hydromechanical-modeling-of-retrogressive-landslides-and-comparison-with-a-penalty-based-approach.pdf","KEEP_REFERENCE","Keep","Reference/literature material","7722930"
"an_sph_framework_for_drained_and_undrained_loading.md","KEEP_REFERENCE","Keep","Reference/literature material","110965"
"autonomous_pre_gpu_run_log.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3848"
"autonomous_strict_smoke_run_log.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","2764"
"b1_cpu_porepressure_boundary_design.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","7230"
"b1_cpu_porepressure_boundary_operator_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6046"
"b5_gpu_porepressure_boundary_operator_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6651"
"blanc_pastor_2012_fractional_step_taylor_sph_implementation_notes.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5351"
"bnd1_generalized_operator2_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2826"
"bnd1_operator2_generalized_boundary_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3783"
"bnd1_porepressure_boundary_operator2_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3693"
"bnd1_upw_boundary_condition_literature_audit.md","KEEP_REFERENCE","Keep","Reference/literature material","2563"
"bnd2_operator2_default_and_gpu_port_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2648"
"bui_2011_slope_stability_elastoplastic_sph_implementation_notes.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6338"
"bui_fukagawa_2009_soil_water_coupled_sph_implementation_notes.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","8063"
"bui_fukagawa_2013_hydrostatic_pore_water_pressure_implementation_notes.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5934"
"corrected_gradient_pr_operator_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","12878"
"cpu_case_smoke_completion_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","21836"
"cpu_pre_gpu_freeze_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","13941"
"cryer_boundary_mode_summary_table.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4803"
"cryer_c2_boundary_strategy.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3208"
"cryer_c2_center_pressure_postprocessing_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3222"
"cryer_c2_current_xml_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2568"
"cryer_c2_reference_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3261"
"cryer_c2_strict_benchmark_definition.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4182"
"cryer_c3_execution_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2244"
"cryer_c3b_analytical_reference.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3811"
"cryer_c3b_center_pressure_strict_postprocessing.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2795"
"cryer_c3b_drained_boundary_strategy.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3156"
