stage,case,max_minus3,final_minus3,final_minus1,fallback_minus5,clean,note
M3d,mild extended,8,8,0,0,no,original-rate line-search failures remain
M3d2,half-speed diagnostic,transient,0,0,0,no,final clean but transient episodes remain
M3d3,baseline,8,8,0,0,no,single-step baseline
M3d3,fixed substeps 4,18,18,8,0,no,worse than baseline
M3d3,adaptive substeps 16,10,10,8,0,no,not clean
M3d3,adaptive fallback 16,0,0,0,17,no,fallback is not validation
M3d3,half-speed adaptive,transient,0,0,0,no,final clean but transient failures
M3f,original-rate improved adaptive,28,28,19,0,no,proactive substepping worsened tested threshold
M3h,admissible line-search,8,8,0,0,no,original-rate not improved
M3m,overhang045 short,8,0,0,0,no,short final clean but bad frames remain
M3m,overhang045 extended,12,5,0,0,no,extended check not clean
M3n,Dp0075 Cartesian,16,transient,52,0,no,Cartesian refinement worsened return populations
M3o,radial-ring generator,,,,,not tested,geometry only; no solver run
